Date,State,LGA,Outlet Type,Country,Sector,Food Item,Price Category,UPRICE,Year,Month
2025-02-16,YOBE,BADE,Local village market,Nigeria,Rural,Soyabeans,Retail,1928.57,2025,2
2025-04-23,ADAMAWA,GOMBI,RoadSide shops street vendors,Nigeria,Urban,Brown beans,Retail,1928.57,2025,4
2025-01-13,ABIA,ISUIKWATO,RoadSide shops street vendors,Nigeria,Rural,Maize yellow,Retail,2537.31,2025,1
2024-12-17,ONDO,AKURE SOUTH,City market,Nigeria,Urban,Sorghum,Retail,1125.0,2024,12
2025-04-19,EKITI,ADO EKITI,Neighborhood shops kiosk,Nigeria,Urban,Soyabeans,Retail,1125.0,2025,4
2025-03-31,ANAMBRA,AWKA SOUTH,Bulk and discount stores,Nigeria,Urban,Brown beans,Wholesale,1600.0,2025,3
2025-01-05,KOGI,LOKOJA,Neighborhood shops kiosk,Nigeria,Urban,Imported rice,Retail,2500.0,2025,1
2025-01-16,KEBBI,ZURU,RoadSide shops street vendors,Nigeria,Rural,Garri,Retail,909.09,2025,1
2025-04-03,CROSS RIVER,CALABAR MUNICIPAL,RoadSide shops street vendors,Nigeria,Urban,Yam,Retail,2000.0,2025,4
2025-02-07,LAGOS,AMUWO-ODOFIN,Directly from Farmer,Nigeria,Rural,Garri,Farmgate,800.0,2025,2
2025-03-14,AKWA IBOM,ESSIEN UDIM,Local village market,Nigeria,Rural,Yam,Retail,1714.29,2025,3
2025-05-10,NIGER,MOKWA,City market,Nigeria,Urban,Soyabeans,Retail,1142.86,2025,5
2025-01-28,JIGAWA,TAURA,RoadSide shops street vendors,Nigeria,Rural,Maize white,Retail,1384.62,2025,1
2025-02-20,OYO,ISEYIN,RoadSide shops street vendors,Nigeria,Urban,Brown beans,Retail,1875.0,2025,2
2025-03-03,ANAMBRA,ONITSHA NORTH,Bulk and discount stores,Nigeria,Urban,Brown beans,Retail,1750.0,2025,3
2025-01-08,BENUE,VANDEIKYA,Open air or covered market,Nigeria,Rural,Soyabeans,Retail,1428.57,2025,1
2024-12-21,PLATEAU,JOS SOUTH,Open air or covered market,Nigeria,Urban,Maize yellow,Retail,769.23,2024,12
2024-12-23,OYO,ATIBA,Specialized stores,Nigeria,Urban,Brown beans,Retail,1625.0,2024,12
2025-05-16,OSUN,EGBEDORE,Open air or covered market,Nigeria,Urban,Garri,Retail,855.86,2025,5
